cluster,lag_s,sum_player,sum_centroid,sum_relative,sum_cross,n_pairs
2020-07-11__2H__rosenborg__A,6.0,3179534.2973478585,2118230.568945646,1061483.356539249,-179.62813703615393,30603
2020-07-11__2H__rosenborg__A,7.0,3978671.926246086,2690802.516091288,1287392.7895944137,476.6205603846538,30587
2020-07-11__2H__rosenborg__A,8.0,4786583.8370886585,3279616.9085395015,1506095.7291308763,871.1994182807684,30571
2020-07-11__2H__rosenborg__A,9.0,5593324.150876209,3875952.7072962294,1716079.2397190542,1292.2038609266529,30555
2020-07-11__2H__rosenborg__A,10.0,6392178.76378852,4473662.720048396,1916791.876674575,1724.167065548816,30539
2020-07-11__2H__rosenborg__A,11.0,7178406.361814571,5067965.381073643,2108333.63935803,2107.3413828964694,30523
2020-07-11__2H__rosenborg__A,12.0,7949121.498818702,5655175.806990856,2291357.7196866185,2587.972141229635,30507
2020-07-11__2H__rosenborg__A,13.0,8703210.754848111,6233257.281256658,2466718.538159707,3234.935431748301,30491
2020-07-11__2H__rosenborg__A,14.0,9440716.154028205,6801298.673455594,2635177.689169772,4239.791402838993,30475
2020-07-11__2H__rosenborg__A,15.0,10162216.222065464,7359400.899657612,2797289.3963020397,5525.926105813334,30459
2020-07-11__2H__rosenborg__A,16.0,10867961.534835195,7907349.538281167,2953600.183802947,7011.812751082667,30443
2020-07-11__2H__rosenborg__A,17.0,11556688.29598796,8443849.916983856,3104447.201253193,8391.1777509143,30427
2020-07-11__2H__rosenborg__A,18.0,12225646.966980666,8966534.09434298,3249595.2324025016,9517.640235184976,30411
2020-07-11__2H__rosenborg__A,19.0,12872696.426255219,9473575.05908791,3388889.1404389534,10232.226728351176,30395
2020-07-11__2H__rosenborg__A,20.0,13497494.317992983,9963954.954764925,3522778.698721964,10760.664506095374,30379
2020-07-11__2H__rosenborg__A,21.0,14100835.611518629,10437565.41264175,3652078.7863948243,11191.412482055937,30363
2020-07-11__2H__rosenborg__A,22.0,14683509.179969044,10894793.96934155,3777184.5381185827,11530.67250890968,30347
2020-07-11__2H__rosenborg__A,23.0,15245909.996920941,11336423.077359885,3897838.7786001177,11648.14096093837,30331
2020-07-11__2H__rosenborg__A,24.0,15788324.067641072,11763324.67452017,4013304.7689432995,11694.624177602804,30315
2020-07-11__2H__rosenborg__A,25.0,16311000.940202255,12176719.64419827,4123399.330616415,10881.965387568482,30299
2020-07-11__2H__rosenborg__A,26.0,16814119.05706416,12577283.87007943,4227658.2470154725,9176.939969259452,30283
2020-07-11__2H__rosenborg__A,27.0,17298281.57776917,12965363.66227438,4325993.5717638,6924.343730992645,30267
2020-07-11__2H__rosenborg__A,28.0,17763991.998274308,13340957.147484431,4418646.694704451,4388.156085427443,30251
2020-07-11__2H__rosenborg__A,29.0,18211672.95697191,13704027.039402626,4506049.671883211,1596.2456860697275,30235
2020-07-11__2H__rosenborg__A,30.0,18642016.08061035,14054480.357508807,4588316.2156317765,-780.4925302326592,30219
2020-07-11__2H__rosenborg__A,31.0,19055626.023263283,14392894.596838562,4665648.426346698,-2916.999921977709,30203
2020-07-11__2H__rosenborg__A,32.0,19453229.144477747,14719909.653724827,4738107.609926149,-4788.119173231724,30187
2020-07-11__2H__rosenborg__A,33.0,19835489.205224607,15036044.236386867,4805924.9877593815,-6480.018921641764,30171
2020-07-11__2H__rosenborg__A,34.0,20202785.001854964,15341595.156476073,4869343.567726754,-8153.722347860887,30155
2020-07-11__2H__rosenborg__A,35.0,20555025.52000524,15636406.478386723,4928566.722382012,-9947.680763495191,30139
2020-07-11__2H__rosenborg__A,36.0,20892001.82067112,15920648.700067611,4983708.514749438,-12355.394145934588,30123
2020-07-11__2H__rosenborg__A,37.0,21213740.42441513,16193663.759283563,5035358.046238005,-15281.381106439803,30107
2020-07-11__2H__rosenborg__A,38.0,21520857.805799115,16455707.148758993,5083951.607076515,-18800.95003638861,30091
2020-07-11__2H__rosenborg__A,39.0,21814199.576699484,16707343.133443536,5129919.042539329,-23062.599283377902,30075
2020-07-11__2H__rosenborg__A,40.0,22094861.283743616,16949187.92555794,5173633.55135829,-27960.193172612824,30059
2020-07-11__2H__rosenborg__A,41.0,22364730.46286486,17182570.94143106,5215565.728316182,-33406.20688237829,30043
