panel,value_col,early_order_state,threshold,survival,n_surviving_at_threshold,n_runs,ci_low_95,ci_high_95,ci_type,bootstrap_B,bootstrap_n_clusters,bootstrap_cluster_cols
B. Length survivor by order state,run_length_m,High,15.275759032204498,0.2931622824068075,6787,23151,0.2841687385659774,0.30314703565564827,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,High,16.86195448022722,0.2599455747051963,6018,23151,0.25083356565374965,0.2697308557563503,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,High,18.448149928249943,0.23385598894216234,5414,23151,0.225383113282882,0.24375294922137314,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,High,20.034345376272665,0.2072048723597253,4797,23151,0.19908348266238932,0.21603210441341072,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,High,21.620540824295386,0.18483002894043454,4279,23151,0.17740909239071273,0.1937372131903229,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,High,23.20673627231811,0.16444214072826227,3807,23151,0.1569619448693942,0.1739741903960686,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,High,24.79293172034083,0.14586842900954602,3377,23151,0.13833559647804036,0.1546252819455882,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,High,26.379127168363553,0.1307502915640793,3027,23151,0.12341182230793508,0.13929344075285638,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,High,27.965322616386274,0.11511381797762515,2665,23151,0.10829690027443437,0.12255548840541977,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,High,29.551518064408995,0.10133471556304263,2346,23151,0.09525397324258449,0.10815251737551172,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,High,31.13771351243172,0.08872186946568182,2054,23151,0.08304297042730073,0.09504188847509915,cluster_bootstrap_95,500,66,"season,match_id,team"
